centroid
POINT (9.315339494334976 48.692468234536086)
POINT (9.313972883004926 48.69246823453608)
POINT (9.312606271674877 48.692468234536086)
POINT (9.311239660344828 48.692468234536086)
POINT (9.30987304901478 48.692468234536086)
POINT (9.30850643768473 48.69246823453608)
POINT (9.30713982635468 48.692468234536086)
POINT (9.30577321502463 48.692468234536086)
POINT (9.304406603694583 48.692468234536086)
POINT (9.303039992364534 48.69246823453608)
POINT (9.301673381034483 48.692468234536086)
POINT (9.300306769704434 48.692468234536086)
POINT (9.298940158374386 48.69246823453608)
POINT (9.297573547044335 48.692468234536086)
POINT (9.296206935714286 48.692468234536086)
POINT (9.29484032438424 48.692468234536086)
POINT (9.293473713054187 48.69246823453608)
POINT (9.29210710172414 48.692468234536086)
POINT (9.29074049039409 48.692468234536086)
POINT (9.28937387906404 48.692468234536086)
POINT (9.288007267733992 48.69246823453608)
POINT (9.286640656403941 48.692468234536086)
POINT (9.28527404507389 48.692468234536086)
POINT (9.283907433743842 48.69246823453608)
POINT (9.282540822413793 48.692468234536086)
POINT (9.281174211083743 48.692468234536086)
POINT (9.279807599753696 48.692468234536086)
POINT (9.278440988423647 48.69246823453608)
POINT (9.277074377093598 48.692468234536086)
POINT (9.275707765763547 48.692468234536086)
POINT (9.274341154433499 48.692468234536086)
POINT (9.272974543103448 48.69246823453608)
POINT (9.2716079317734 48.692468234536086)
POINT (9.270241320443349 48.692468234536086)
POINT (9.268874709113302 48.692468234536086)
POINT (9.267508097783255 48.69246823453608)
POINT (9.266141486453202 48.692468234536086)
POINT (9.264774875123152 48.692468234536086)
POINT (9.263408263793101 48.69246823453608)
POINT (9.262041652463054 48.692468234536086)
POINT (9.260675041133005 48.692468234536086)
POINT (9.259308429802955 48.692468234536086)
POINT (9.257941818472906 48.69246823453608)
POINT (9.256575207142859 48.692468234536086)
POINT (9.25520859581281 48.692468234536086)
POINT (9.25384198448276 48.692468234536086)
POINT (9.25247537315271 48.69246823453608)
POINT (9.25110876182266 48.692468234536086)
POINT (9.24974215049261 48.692468234536086)
POINT (9.248375539162565 48.69246823453608)
POINT (9.24700892783251 48.692468234536086)
POINT (9.245642316502462 48.692468234536086)
POINT (9.244275705172415 48.692468234536086)
POINT (9.242909093842366 48.69246823453608)
POINT (9.241542482512315 48.692468234536086)
POINT (9.240175871182267 48.692468234536086)
POINT (9.238809259852218 48.692468234536086)
POINT (9.237442648522169 48.69246823453608)
POINT (9.236076037192118 48.692468234536086)
POINT (9.234709425862071 48.692468234536086)
POINT (9.233342814532019 48.69246823453608)
POINT (9.231976203201969 48.692468234536086)
POINT (9.230609591871922 48.692468234536086)
POINT (9.229242980541873 48.692468234536086)
POINT (9.227876369211822 48.69246823453608)
POINT (9.226509757881773 48.692468234536086)
